order,value,location
Diptera,1,PE
Lepidoptera,1,PE
Psocoptera,0,PE
Blattodea,1,PE
Coleoptera,1,PE
Neuroptera,0.2,PE
Hymenoptera,0,PE
Odonata,0,PE
uc__Bdelloidea,0.2,PE
Hemiptera,0.2,PE
Trichoptera,0,PE
Ephemeroptera,0,PE
Rhabditida,0,PE
uk__Metazoa,0.2,PE
Pythiales,0.2,PE
Adinetida,0.2,PE
Araneae,0,PE
Lactobacillales,0.2,PE
Siphonaptera,0.2,PE
Hypocreales,0,PE
Saprolegniales,0,PE
Diptera,0.782608696,DS
Lepidoptera,0.956521739,DS
Psocoptera,0.52173913,DS
Blattodea,0.391304348,DS
Coleoptera,0.652173913,DS
Neuroptera,0.304347826,DS
Hymenoptera,0.173913043,DS
Odonata,0.086956522,DS
uc__Bdelloidea,0.043478261,DS
Hemiptera,0.043478261,DS
Trichoptera,0.043478261,DS
Ephemeroptera,0.086956522,DS
Rhabditida,0.043478261,DS
uk__Metazoa,0,DS
Pythiales,0,DS
Adinetida,0,DS
Araneae,0.086956522,DS
Lactobacillales,0,DS
Siphonaptera,0,DS
Hypocreales,0.043478261,DS
Saprolegniales,0.043478261,DS
Diptera,0.947368421,XR
Lepidoptera,0.947368421,XR
Psocoptera,0.736842105,XR
Blattodea,0.789473684,XR
Coleoptera,0.736842105,XR
Neuroptera,0.473684211,XR
Hymenoptera,0.052631579,XR
Odonata,0,XR
uc__Bdelloidea,0,XR
Hemiptera,0.157894737,XR
Trichoptera,0.157894737,XR
Ephemeroptera,0.105263158,XR
Rhabditida,0.052631579,XR
uk__Metazoa,0,XR
Pythiales,0,XR
Adinetida,0,XR
Araneae,0,XR
Lactobacillales,0,XR
Siphonaptera,0,XR
Hypocreales,0,XR
Saprolegniales,0,XR
Diptera,1,HZ
Lepidoptera,1,HZ
Psocoptera,0,HZ
Blattodea,0,HZ
Coleoptera,0.75,HZ
Neuroptera,0,HZ
Hymenoptera,0,HZ
Odonata,0.25,HZ
uc__Bdelloidea,0,HZ
Hemiptera,0,HZ
Trichoptera,0,HZ
Ephemeroptera,0.25,HZ
Rhabditida,0,HZ
uk__Metazoa,0,HZ
Pythiales,0,HZ
Adinetida,0,HZ
Araneae,0,HZ
Lactobacillales,0.25,HZ
Siphonaptera,0,HZ
Hypocreales,0,HZ
Saprolegniales,0,HZ
