class,order,family,genus,species
Arachnida,Araneae,Linyphiidae,Walckenaeria,Walckenaeria exigua
Arachnida,Araneae,Lycosidae,Pardosa,Pardosa pseudoannulata
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Ectobiidae,Symplocodes,Symplocodes manubria
Insecta,Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta sp. USNM ENT 01117170
Insecta,Blattodea,Ectobiidae,Episymploce,Episymploce hunanensis
Insecta,Blattodea,Ectobiidae,Blattella,Blattella bisignata
Insecta,Blattodea,Ectobiidae,Blattella,Blattella bisignata
Insecta,Blattodea,Ectobiidae,Blattella,Blattella bisignata
Insecta,Blattodea,Ectobiidae,Blattella,Blattella bisignata
Insecta,Blattodea,Ectobiidae,Sigmella,Sigmella schenklingi
Insecta,Blattodea,Ectobiidae,Hemithyrsocera,Hemithyrsocera marginalis
Insecta,Blattodea,Ectobiidae,Blattella,Blattella bisignata
Insecta,Blattodea,Ectobiidae,Anaplectoidea,Anaplectoidea spinea
Insecta,Blattodea,Ectobiidae,Blattella,Blattella bisignata
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Ectobiidae,Symploce,Symploce sp. 4 ZW-2016
Insecta,Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta sp. USNM ENT 01117170
Insecta,Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta sp. USNM ENT 01117170
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Ectobiidae,Episymploce,Episymploce spinosa
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Ectobiidae,Hemithyrsocera,Hemithyrsocera sp. USNM ENT 01117164
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Ectobiidae,Balta,Balta notulata
Insecta,Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta sp. USNM ENT 01117170
Insecta,Blattodea,Ectobiidae,Symplocodes,Symplocodes manubria
Insecta,Blattodea,Ectobiidae,Hemithyrsocera,Hemithyrsocera sp. USNM ENT 01117164
Insecta,Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta sp. USNM ENT 01117170
Insecta,Blattodea,Ectobiidae,Hemithyrsocera,Hemithyrsocera marginalis
Insecta,Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta sp. USNM ENT 01117170
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Ectobiidae,Hemithyrsocera,Hemithyrsocera sp. USNM ENT 01117164
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta maculata
Insecta,Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta sp. USNM ENT 01117170
Insecta,Blattodea,Ectobiidae,Blattella,Blattella sauteri
Insecta,Blattodea,Ectobiidae,Symploce,Symploce wulingensis
Insecta,Blattodea,Ectobiidae,Anaplectoidea,Anaplectoidea varia
Insecta,Blattodea,Ectobiidae,Anaplectoidea,Anaplectoidea varia
Insecta,Coleoptera,Carabidae,Microcharidius,Microcharidius diecki
Insecta,Coleoptera,Carabidae,Microcharidius,Microcharidius diecki
Insecta,Coleoptera,Scarabaeidae,Onthophagus,Onthophagus evanidus
